word,pol,sub,int
छान,0.8,0.75,1.0
मोठा,0.196,0.65,1.3
लहान,-0.155,0.7,1.2
चांगला,0.943,0.3,1.2
वाईट,-0.992,0.7,1.0
लांब,0.152,0.5,1.2
दूर,0.152,0.7,1.2
जवळ,0.103,0.8,1.4
खोल,0,0.75,1.4
उथळ,-0.865,0.55,1.0
साधा,-0.110,0.75,1.0
विशेष,0.561,0.5,1.9
गडद,-0.733,0.30,1.0
फिका,-0.625,0.56,0.9
उंच,0.061,0.75,1.0
बुटका,-0.126,0.75,1.0
बारीक,0,0.56,1.5
जाडा,-0.308,0.75,1.2
रुंद,0.152,0.75,1.3
अरुंद,0.103,0.75,1.6
वाकडा,0,0.75,1.4
सरळ,0.168,0.75,1.3
बेचव,0,0.75,1.2
चवदार,0.192,0.75,1.3
मदत,0.192,0.75,1.3
कडू,-0.966,0.75,1.8
गोड,0.914,0.75,1.2
आंबट,-0.910,0.75,1.2
खारट,0,0.75,1.0
तुरट,0,0.75,1.3
कठीण,-0.885,0.75,1.0
सोपा,0.614,0.75,1.3
मळका,-0.980	,0.75,1.2
स्वच्छ,0.701,0.75,1.2
घाणेरडा,-0.959,0.75,1.2
कोरडा,-0.133,0.75,1.4
सुका,-0.133,0.75,1.2
ओला,-0.071,0.75,1.0
रिकामा,0.100,0.75,1.3
भरलेला,0,0.75,1.2
स्वस्त,0.827,0.75,1.2
महाग,-0.162,0.75,1.2
पूर्ण,0.214,0.75,1.4
अपूर्ण,-0.366,0.75,1.6
अर्धा,-0.126,0.75,1.3
कडक,-0.678,0.75,1.2
मऊ,0.509,0.75,1.0
जड,-0.087,0.75,1.6
हलका,-0.071,0.75,1.4
नवीन,0.128,0.75,1.0
नवा,0.128,0.75,1.2
जुना,0.098,0.75,1.3
शांत,0.405,0.75,1.6
अशांत,-0.977,0.75,1.7
हळू,-0.492,0.75,1.2
वेगवान,0.561,0.75,1.0
खूप,0.117,0.75,1.4
थोडा,-0.110,0.75,1.0
आनंदी,0.941,0.75,1.2
खुश,0.941,0.75,1.0
नाखुश,-0.988,0.75,1.2
दुःखी,-0.978,0.75,1.4
उदास,-0.927,0.75,1.6
चपळ,0.881,0.75,1.9
मंद,-0.927,0.75,1.8
आळशी,-0.885,0.75,1.4
उत्साही,0.954,0.75,1.4
आनंददायी,0.954,0.75,1.4
भयंकर,-0.13,0.65,1.3
